episode,seed,dr_seed,noise_seed,git_hash,cell,success_at_default_tol,grasp,lift,termination,steps,place_err_mm,tcp_err_at_release_mm,scatter_mm,release_step,obj_settled,max_step_dist_mm,action_smoothing,control_hz,max_joint_vel,n_substeps,obs_latency_steps,max_episode_steps,solver_timestep,solver_iterations,solver_impratio,solver_solref_scale,collision_steps,safety_clamped,safety_vetoed,clamp_rate,obj_r,obj_th,obj_yaw,obj_half_w,obj_half_h,obj_mass,mu_obj,mu_table,tgt_r,tgt_th,kp_scale_mean,kv_scale_mean,frictionloss_scale_mean,reward
0,20000,20000,20000,35ace65,v2_solver_dt1ms,1,1,1,success,51,21.53824202167828,18.77094003696449,4.932717078447699,47,1,30.0,0.45,20.0,1.0,50,1,200,0.001,100,10.0,1.0,0,35,0,0.6862745098039216,0.3474110484282783,-0.2248808133670315,-2.992927166152892,0.0215318372452999,0.0302943970085639,0.0311708078897551,1.4790102422867273,0.6505728288848772,0.3617774888072249,0.553221044270187,1.0058264735349158,0.979034771210902,1.0068289612867285,282.4642997758405
1,20001,20001,20001,35ace65,v2_solver_dt1ms,1,1,1,success,50,8.51647392320735,9.048890444798928,5.64203891912024,43,1,30.0,0.45,20.0,1.0,50,1,200,0.001,100,10.0,1.0,0,40,0,0.8,0.3062269708028256,-0.2849828383105404,2.892074387409361,0.0228226785458311,0.035721230882053,0.1140016773924783,1.6032712890213876,1.2572543610793447,0.337332175301131,0.4884081377622979,0.9544063031971912,1.062735744498996,1.0891749215866655,280.5488493870183
2,20002,20002,20002,35ace65,v2_solver_dt1ms,1,1,1,success,62,7.816014975406896,12.606741017128202,13.482093817765849,55,1,30.0,0.45,20.0,1.0,50,1,200,0.001,100,10.0,1.0,0,43,0,0.6935483870967742,0.3705745377913467,-0.717792457216367,1.7865612530983936,0.0238559641445566,0.0370454599661747,0.0978253293223943,1.9430369836375772,0.7238261602467481,0.3079013259330847,0.2344195670661861,0.9852990289367732,0.9917019533245562,1.0859406203171424,290.7588530097503
3,20003,20003,20003,35ace65,v2_solver_dt1ms,1,1,1,success,56,9.641170498628044,22.760553805973817,16.426070380228342,49,1,30.0,0.45,20.0,1.0,50,1,200,0.001,100,10.0,1.0,0,42,0,0.75,0.3312793740982412,-0.4986580450083797,2.290420228048643,0.0231473054105183,0.0360924138932614,0.0894356602944455,1.286961032223358,1.1841329524931838,0.3538113286785248,0.2598472772319892,1.0664166669318604,0.9451551336221604,1.0955363878384492,285.34167315046125
4,20004,20004,20004,35ace65,v2_solver_dt1ms,1,1,1,success,65,3.21713466213418,18.04745724463756,13.528815755535682,60,1,30.0,0.45,20.0,1.0,50,1,200,0.001,100,10.0,1.0,0,44,0,0.676923076923077,0.3587775185467205,-0.3710411707197539,-3.036194887059885,0.026126714768515,0.0298073322677388,0.0944303770066821,1.5428162891128028,1.0913316606286534,0.356187830951595,0.6029860859071946,1.0223682466811943,1.0149774282601849,0.9167070033909216,283.89184513227434
5,20005,20005,20005,35ace65,v2_solver_dt1ms,1,1,1,success,65,9.763975585429224,14.992177829103788,11.361500949207707,60,1,30.0,0.45,20.0,1.0,50,1,200,0.001,100,10.0,1.0,0,52,0,0.8,0.3345599115619247,-0.5668271439135467,2.6091757878817043,0.0252947137487495,0.0310899974376083,0.0718163986809363,1.995463083936362,0.9699935812781522,0.3622179463523949,0.561913769760857,0.9470165784887328,0.9294974156072908,1.08710498577009,292.84023862681306
6,20006,20006,20006,35ace65,v2_solver_dt1ms,1,1,1,success,57,25.31686285692425,23.6810000753114,2.526495807925225,54,1,30.0,0.45,20.0,1.0,50,1,200,0.001,100,10.0,1.0,0,43,0,0.7543859649122807,0.3175161176555032,-0.6903909623638597,-2.2630603092208967,0.0229533979611323,0.0311794082701561,0.049281707812712,1.7196025253132647,0.6436483383559161,0.3806241673747191,0.241082695866745,1.025890625926406,1.118790110251128,1.0480395486391612,287.7398154223825
7,20007,20007,20007,35ace65,v2_solver_dt1ms,1,1,1,success,60,20.06923236091309,13.233876608833087,12.668729195302587,54,1,30.0,0.45,20.0,1.0,50,1,200,0.001,100,10.0,1.0,0,44,0,0.7333333333333333,0.3735795635689171,-0.6114608083175758,3.0517696782990216,0.0253030805837368,0.0383586154149382,0.0406036529372848,1.3475430593957396,1.319349972191734,0.3745486645762045,0.3464039398949948,0.9700875517096348,0.989293135885638,1.0888997619524865,290.47842153736383
8,20008,20008,20008,35ace65,v2_solver_dt1ms,1,1,1,success,62,13.064621307782296,4.000508757314573,3.671016996798568,59,1,30.0,0.45,20.0,1.0,50,1,200,0.001,100,10.0,1.0,0,47,0,0.7580645161290323,0.3831813414521932,-0.3565248785997729,1.8798234646220564,0.0244514144924186,0.0385033757657088,0.057525689653307,1.2298579368012788,1.3901898509710024,0.3367886603067758,0.4394634055402187,1.0871621078117115,1.023338679332657,0.9119927592223422,283.2858973773931
9,20009,20009,20009,35ace65,v2_solver_dt1ms,1,1,1,success,52,4.024024975147199,19.768562425636382,18.19174784980615,45,1,30.0,0.45,20.0,1.0,50,1,200,0.001,100,10.0,1.0,0,40,0,0.7692307692307693,0.3314806110962521,-0.5135002413416396,-0.0543038823962818,0.0212055825380661,0.0306473787737554,0.0563605722461903,1.91090449617266,1.1811897387935428,0.3177931208026918,0.2974013246648986,1.023330062290422,0.9950413083480856,1.013051245142633,284.2603822834804
