experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination
randomized-id,evaluation_id,0,40000,reach_object,0,0,1,1,1,-4.727657761238041e-05,,3.3,66,0.056334489922080545,1,0,51,51,0,0.7727272727272727,19,17,0.85,119.03489726098812,-79.22317039402412,human_collision
randomized-id,evaluation_id,1,40001,reverse,0,0,0,0,0,0.0972304375253074,,10.0,200,0.20684273597665234,1,1,187,187,0,0.935,12,4,0.2,0.4171056838113988,56.36619695080519,timeout
randomized-id,evaluation_id,2,40002,reverse,0,0,1,1,1,-0.00011232624801506969,,3.55,71,0.04758164060120245,1,0,64,64,0,0.9014084507042254,15,7,0.35,117.8063911966355,-64.13026749217983,human_collision
randomized-id,evaluation_id,3,40003,cross_workspace,1,1,0,0,0,0.19132115643482228,3.0,3.0,60,0.008277893491569053,1,1,43,43,0,0.7166666666666667,0,0,0.0,0.0,288.12725467749453,success
randomized-id,evaluation_id,4,40004,reverse,1,1,0,0,0,0.36186151447305426,1.85,1.85,37,0.02558060995914149,1,1,33,33,0,0.8918918918918919,0,0,0.0,0.0,276.7640554561318,success
randomized-id,evaluation_id,5,40005,reverse,1,1,0,0,0,0.33177800921787526,2.25,2.25,45,0.007088803650541316,1,1,40,40,0,0.8888888888888888,0,0,0.0,0.0,283.18957052836083,success
randomized-id,evaluation_id,6,40006,reach_object,1,1,0,0,0,0.347125484950062,2.75,2.75,55,0.005382914350902754,1,1,47,47,0,0.8545454545454545,0,0,0.0,0.0,284.3439748008077,success
randomized-id,evaluation_id,7,40007,pause_and_continue,1,1,0,0,0,0.24332937550358483,2.9,2.9,58,0.010248693911514402,1,1,37,37,0,0.6379310344827587,0,0,0.0,0.0,286.3972368439048,success
randomized-id,evaluation_id,8,40008,pause_and_continue,0,0,1,1,1,-5.367619561547077e-05,,6.75,135,0.3086277716258326,0,0,122,122,0,0.9037037037037037,43,43,2.15,110.98298937610001,-111.94049187948585,human_collision
randomized-id,evaluation_id,9,40009,reverse,1,1,0,0,0,0.4355410924329961,2.5,2.5,50,0.021657634292355746,1,1,39,39,0,0.78,0,0,0.0,0.0,275.26822022175094,success
randomized-id,evaluation_id,10,40010,reach_target,1,1,0,0,0,0.08788780274846948,3.25,3.25,65,0.005699739368701682,1,1,52,52,0,0.8,3,1,0.05,0.194186641837797,288.0078158551877,success
randomized-id,evaluation_id,11,40011,cross_workspace,1,1,0,0,0,0.22514092663771132,3.55,3.55,71,0.011480574328164836,1,1,64,64,0,0.9014084507042254,0,0,0.0,0.0,280.38237401049895,success
randomized-id,evaluation_id,12,40012,pause_and_continue,0,0,1,1,1,-0.00015165256395924254,,7.8,156,0.3486220982080421,0,0,141,141,0,0.9038461538461539,66,66,3.3,125.52847342977768,-128.817565317889,human_collision
randomized-id,evaluation_id,13,40013,cross_workspace,1,1,0,1,1,0.042271362429212936,3.0,3.0,60,0.04318239384618043,1,1,45,45,0,0.75,5,1,0.05,2.1037608176867066,274.32030107550804,success
randomized-id,evaluation_id,14,40014,pause_and_continue,1,1,0,0,0,0.29567760846604896,3.05,3.05,61,0.009900627065690606,1,1,55,55,0,0.9016393442622951,0,0,0.0,0.0,281.91057830327617,success
randomized-id,evaluation_id,15,40015,reverse,1,1,0,1,1,0.037243264789851,3.85,3.85,77,0.028100211845473497,1,1,58,58,0,0.7532467532467533,9,0,0.0,5.880575162632947,274.08142872457285,success
randomized-id,evaluation_id,16,40016,reach_target,1,1,0,0,0,0.1289565113336433,3.25,3.25,65,0.031084936608998193,1,1,56,56,0,0.8615384615384616,0,0,0.0,0.0,271.50805788553237,success
randomized-id,evaluation_id,17,40017,reverse,1,1,0,0,0,0.38657795233001735,2.8,2.8,56,0.030925838231141436,1,1,46,46,0,0.8214285714285714,0,0,0.0,0.0,284.23684698617296,success
randomized-id,evaluation_id,18,40018,reach_target,1,1,0,0,0,0.3378983764595333,3.35,3.35,67,0.016663824986321917,1,1,47,47,0,0.7014925373134329,0,0,0.0,0.0,287.16445017224396,success
randomized-id,evaluation_id,19,40019,reach_target,1,1,0,0,0,0.2579920140765185,3.05,3.05,61,0.014371434792966672,1,1,35,35,0,0.5737704918032787,0,0,0.0,0.0,279.6888408344682,success
randomized-id,evaluation_id,20,40020,reach_object,0,0,1,1,1,-0.04321437133851048,,3.75,75,0.12197227502392317,0,0,67,67,0,0.8933333333333333,18,18,0.9,140.35593517368972,-138.13274753764262,human_collision
randomized-id,evaluation_id,21,40021,pause_and_continue,0,0,1,1,1,-0.00017462820234713516,,4.75,95,0.4267288786404272,1,0,85,85,0,0.8947368421052632,14,14,0.7,111.68235735212936,-81.34264630539452,human_collision
randomized-id,evaluation_id,22,40022,reverse,1,1,0,0,0,0.3011854594407386,3.2,3.2,64,0.037895110771717866,1,1,52,52,0,0.8125,0,0,0.0,0.0,283.9930179989011,success
randomized-id,evaluation_id,23,40023,reach_target,1,1,0,0,0,0.2582036560477802,3.45,3.45,69,0.01887175321889808,1,1,55,55,0,0.7971014492753623,0,0,0.0,0.0,288.2622810480657,success
randomized-id,evaluation_id,24,40024,pause_and_continue,1,1,0,0,0,0.2465285579691531,2.55,2.55,51,0.006955879789627607,1,1,32,32,0,0.6274509803921569,0,0,0.0,0.0,278.869378932576,success
randomized-id,evaluation_id,25,40025,reach_object,1,1,0,1,1,0.00998833536497213,3.3,3.3,66,0.015398769397383834,1,1,58,58,0,0.8787878787878788,10,5,0.25,7.665956958076804,269.400133185908,success
randomized-id,evaluation_id,26,40026,reach_object,1,1,0,0,0,0.35230155734960056,2.9,2.9,58,0.020119322637164747,1,1,53,53,0,0.9137931034482759,0,0,0.0,0.0,279.32276063076046,success
randomized-id,evaluation_id,27,40027,reach_object,1,1,0,0,0,0.36890131255602887,2.75,2.75,55,0.02274808338639876,1,1,51,51,0,0.9272727272727272,0,0,0.0,0.0,273.68428849647717,success
randomized-id,evaluation_id,28,40028,reach_target,0,0,1,1,1,-0.0001740392677167038,,4.05,81,0.39064741768144723,1,0,71,71,0,0.8765432098765432,14,14,0.7,113.11952158159455,-83.80682164443503,human_collision
randomized-id,evaluation_id,29,40029,reverse,0,0,1,1,1,-0.01279765803563471,,4.55,91,0.039352031498102714,1,0,85,85,0,0.9340659340659341,17,17,0.85,122.46795940972132,-97.80982819277806,human_collision
randomized-id,evaluation_id,30,40030,reach_object,1,1,0,0,0,0.31238026108174355,2.8,2.8,56,0.010159269484475816,1,1,40,40,0,0.7142857142857143,0,0,0.0,0.0,281.1321863406311,success
randomized-id,evaluation_id,31,40031,reach_object,1,1,0,0,0,0.2054285782291426,2.85,2.85,57,0.011065021583571411,1,1,47,47,0,0.8245614035087719,0,0,0.0,0.0,279.35143178105295,success
