experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,0,32000,cross_workspace,1,1,0,0,0,0.2889626163305524,2.0,2.0,40,0.008825335603130207,1,1,24,24,0,0.6,0,0,0.0,0.0,278.355184824819,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,1,32001,cross_workspace,0,0,1,1,1,-0.0001828278130149158,,6.15,123,0.37491042517770035,1,0,97,97,0,0.7886178861788617,47,22,1.1,144.0163603286384,-96.09692047779076,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,2,32002,cross_workspace,0,0,1,1,1,-6.53167304474761e-05,,6.1,122,0.319311446066057,0,0,105,105,0,0.860655737704918,42,42,2.1,135.8348404726504,-130.73807445493404,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,3,32003,cross_workspace,1,1,0,0,0,0.08781007343375939,2.8,2.8,56,0.032019132688920114,1,1,37,37,0,0.6607142857142857,4,0,0.0,0.24247293182487986,272.1609056090434,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,4,32004,cross_workspace,1,1,0,1,1,0.05573182444452189,2.8,2.8,56,0.03450272060880377,1,1,37,37,0,0.6607142857142857,6,0,0.0,1.5252856370274457,283.39892108159427,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,5,32005,cross_workspace,0,0,1,1,1,-1.490948176777196e-05,,6.15,123,0.34472649292902635,0,0,113,113,0,0.9186991869918699,43,43,2.15,133.86599752511867,-133.31594179570462,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,6,32006,cross_workspace,0,0,1,1,1,-9.114639224025445e-05,,5.75,115,0.08508070889014184,1,0,101,101,0,0.8782608695652174,53,41,2.05,162.0899309965509,-113.63992883670286,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,7,32007,cross_workspace,1,1,0,0,0,0.17833442602350905,2.65,2.65,53,0.010177043640963923,1,1,34,34,0,0.6415094339622641,0,0,0.0,0.0,284.6430150103423,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,8,32008,cross_workspace,0,0,1,1,1,-0.00012844580237557357,,5.8,116,0.32590963303999015,1,0,104,104,0,0.896551724137931,34,20,1.0,135.0141313391766,-105.21344223435479,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,9,32009,cross_workspace,1,1,0,0,0,0.0889790241476253,3.15,3.15,63,0.017678857907740562,1,1,43,43,0,0.6825396825396826,4,2,0.1,0.21248157960025513,287.33446843037854,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,10,32010,cross_workspace,1,1,0,0,0,0.12569829368633517,2.8,2.8,56,0.03363104561345539,1,1,38,38,0,0.6785714285714286,0,0,0.0,0.0,275.50026614319813,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,11,32011,cross_workspace,0,0,1,1,1,-2.5854507906944435e-05,,5.05,101,0.36579861711558936,1,0,83,83,0,0.8217821782178217,20,3,0.15,113.15571195561162,-73.52224775071863,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,12,32012,cross_workspace,0,0,1,1,1,-0.00017928881542306208,,6.2,124,0.32572074319874345,0,0,105,105,0,0.8467741935483871,43,43,2.15,132.1314391704361,-127.39784778662369,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,13,32013,cross_workspace,1,1,0,0,0,0.17074877794593032,2.5,2.5,50,0.02284818018790208,1,1,36,36,0,0.72,0,0,0.0,0.0,284.4379977548329,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,14,32014,cross_workspace,1,1,0,0,0,0.17796875583558477,2.5,2.5,50,0.02017313055558169,1,1,31,31,0,0.62,0,0,0.0,0.0,270.64302398882995,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,15,32015,cross_workspace,0,0,1,1,1,-1.43745844123494e-05,,5.95,119,0.20434560730262583,1,0,109,109,0,0.9159663865546218,41,41,2.05,143.61745588097762,-119.28673936117795,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,16,32016,cross_workspace,1,1,0,0,0,0.18021176086089205,2.3,2.3,46,0.02943474885555372,1,1,35,35,0,0.7608695652173914,0,0,0.0,0.0,278.289206503081,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,17,32017,cross_workspace,1,1,0,0,0,0.16883427219085803,2.6,2.6,52,0.012418297269915057,1,1,30,30,0,0.5769230769230769,0,0,0.0,0.0,286.6803775540347,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,18,32018,cross_workspace,1,1,0,0,0,0.10780829301823447,2.7,2.7,54,0.03276574809911593,1,1,30,30,0,0.5555555555555556,2,2,0.1,0.02519552917660678,280.29720152112094,success
