experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination
fixed-exact-h036-v1,fixed_exact_h036_v1,0,31000,cross_workspace,1,1,0,0,0,0.23100580620914482,2.6,2.6,52,0.011621865976362363,1,1,39,39,0,0.75,0,0,0.0,0.0,283.89178574643637,success
fixed-exact-h036-v1,fixed_exact_h036_v1,1,31001,cross_workspace,1,1,0,0,0,0.21482344984908905,2.85,2.85,57,0.026336654215511877,1,1,45,45,0,0.7894736842105263,0,0,0.0,0.0,281.9869276095553,success
fixed-exact-h036-v1,fixed_exact_h036_v1,2,31002,cross_workspace,1,1,0,0,0,0.20178802504660093,2.6,2.6,52,0.014796234549779267,1,1,42,42,0,0.8076923076923077,0,0,0.0,0.0,282.63066147087414,success
fixed-exact-h036-v1,fixed_exact_h036_v1,3,31003,cross_workspace,0,0,1,1,1,-0.00019209939612543914,,6.8,136,0.26296150647837574,1,0,123,123,0,0.9044117647058824,47,47,2.35,134.98874193797803,-111.41003104717991,human_collision
fixed-exact-h036-v1,fixed_exact_h036_v1,4,31004,cross_workspace,1,1,0,0,0,0.2669284004102863,2.25,2.25,45,0.03014210421284009,1,1,32,32,0,0.7111111111111111,0,0,0.0,0.0,280.22154788075966,success
fixed-exact-h036-v1,fixed_exact_h036_v1,5,31005,cross_workspace,0,0,1,1,1,-0.00018711959684471896,,3.95,79,0.055248729791232944,1,0,61,61,0,0.7721518987341772,15,15,0.75,112.36090087252607,-62.25631238160349,human_collision
fixed-exact-h036-v1,fixed_exact_h036_v1,6,31006,cross_workspace,1,1,0,0,0,0.17870987970731392,2.65,2.65,53,0.01391270555560177,1,1,40,40,0,0.7547169811320755,0,0,0.0,0.0,284.5247181226257,success
fixed-exact-h036-v1,fixed_exact_h036_v1,7,31007,cross_workspace,1,1,0,0,0,0.18024591025478487,2.7,2.7,54,0.01578795623426482,1,1,47,47,0,0.8703703703703703,0,0,0.0,0.0,268.5452567374816,success
fixed-exact-h036-v1,fixed_exact_h036_v1,8,31008,cross_workspace,0,0,1,1,1,-6.0210266522198186e-05,,6.85,137,0.3213647912294214,1,0,118,118,0,0.8613138686131386,46,44,2.2,128.30069222094414,-95.91985786640952,human_collision
fixed-exact-h036-v1,fixed_exact_h036_v1,9,31009,cross_workspace,1,1,0,0,0,0.21130028034756237,2.65,2.65,53,0.013779821654304051,1,1,41,41,0,0.7735849056603774,0,0,0.0,0.0,282.1564636555406,success
fixed-exact-h036-v1,fixed_exact_h036_v1,10,31010,cross_workspace,1,1,0,0,0,0.19828095396160128,2.65,2.65,53,0.026893279218260735,1,1,35,35,0,0.660377358490566,0,0,0.0,0.0,282.9140918088209,success
fixed-exact-h036-v1,fixed_exact_h036_v1,11,31011,cross_workspace,1,1,0,0,0,0.212215377743563,2.4,2.4,48,0.02576348641744717,1,1,45,45,0,0.9375,0,0,0.0,0.0,274.32756897969864,success
fixed-exact-h036-v1,fixed_exact_h036_v1,12,31012,cross_workspace,0,0,1,1,1,-7.350461726302049e-05,,7.2,144,0.29291948103997845,0,0,118,118,0,0.8194444444444444,54,35,1.75,126.71486786362405,-135.66728621497907,human_collision
fixed-exact-h036-v1,fixed_exact_h036_v1,13,31013,cross_workspace,1,1,0,0,0,0.15726609751617357,2.95,2.95,59,0.018347098385039246,1,1,40,40,0,0.6779661016949152,0,0,0.0,0.0,272.44787871100806,success
fixed-exact-h036-v1,fixed_exact_h036_v1,14,31014,cross_workspace,1,1,0,0,0,0.2322822594797708,2.4,2.4,48,0.03392356396991606,1,1,40,40,0,0.8333333333333334,0,0,0.0,0.0,280.6212433961485,success
fixed-exact-h036-v1,fixed_exact_h036_v1,15,31015,cross_workspace,1,1,0,0,0,0.10574192515892449,3.2,3.2,64,0.010257540218746366,1,1,47,47,0,0.734375,2,2,0.1,0.03200654977159441,288.0375087425038,success
fixed-exact-h036-v1,fixed_exact_h036_v1,16,31016,cross_workspace,1,1,0,0,0,0.24102330297246774,2.45,2.45,49,0.025833830225607386,1,1,35,35,0,0.7142857142857143,0,0,0.0,0.0,280.3686145716565,success
fixed-exact-h036-v1,fixed_exact_h036_v1,17,31017,cross_workspace,1,1,0,0,0,0.20842021951306766,2.55,2.55,51,0.03854172871231888,1,0,36,36,0,0.7058823529411765,0,0,0.0,0.0,245.70698269336236,success
fixed-exact-h036-v1,fixed_exact_h036_v1,18,31018,cross_workspace,1,1,0,0,0,0.23280137014766725,2.45,2.45,49,0.009880923822070013,1,1,33,33,0,0.673469387755102,0,0,0.0,0.0,279.9538294153208,success
fixed-exact-h036-v1,fixed_exact_h036_v1,19,31019,cross_workspace,1,1,0,0,0,0.19103293226810733,2.55,2.55,51,0.028818145467242644,1,1,37,37,0,0.7254901960784313,0,0,0.0,0.0,271.86665042945936,success
fixed-exact-h036-v1,fixed_exact_h036_v1,20,31020,cross_workspace,1,1,0,0,0,0.1700859484648155,2.65,2.65,53,0.04203197302312075,1,1,46,46,0,0.8679245283018868,0,0,0.0,0.0,271.73867997311464,success
fixed-exact-h036-v1,fixed_exact_h036_v1,21,31021,cross_workspace,1,1,0,0,0,0.19925515239043776,2.55,2.55,51,0.008929432994719103,1,1,46,46,0,0.9019607843137255,0,0,0.0,0.0,280.4891542945185,success
fixed-exact-h036-v1,fixed_exact_h036_v1,22,31022,cross_workspace,1,1,0,0,0,0.19785704890183767,2.55,2.55,51,0.004267546203456209,1,1,47,47,0,0.9215686274509803,0,0,0.0,0.0,268.1947207965905,success
fixed-exact-h036-v1,fixed_exact_h036_v1,23,31023,cross_workspace,1,1,0,0,0,0.23432268314305968,2.5,2.5,50,0.010887822891752965,1,1,37,37,0,0.74,0,0,0.0,0.0,283.64092953466303,success
fixed-exact-h036-v1,fixed_exact_h036_v1,24,31024,cross_workspace,0,0,1,1,1,-3.8031671424978986e-05,,6.8,136,0.38199394029511546,0,0,128,128,0,0.9411764705882353,46,46,2.3,131.92891393269358,-122.94139454207576,human_collision
fixed-exact-h036-v1,fixed_exact_h036_v1,25,31025,cross_workspace,1,1,0,0,0,0.261992304476553,2.45,2.45,49,0.013094713401899638,1,1,33,33,0,0.673469387755102,0,0,0.0,0.0,278.2823157267618,success
fixed-exact-h036-v1,fixed_exact_h036_v1,26,31026,cross_workspace,1,1,0,0,0,0.17893774486745492,2.6,2.6,52,0.037492033862004434,1,1,35,35,0,0.6730769230769231,0,0,0.0,0.0,270.7901708497249,success
fixed-exact-h036-v1,fixed_exact_h036_v1,27,31027,cross_workspace,1,1,0,0,0,0.14621362260434456,2.65,2.65,53,0.019648416690680556,1,1,41,41,0,0.7735849056603774,0,0,0.0,0.0,267.14338409234136,success
fixed-exact-h036-v1,fixed_exact_h036_v1,28,31028,cross_workspace,1,1,0,0,0,0.21491858960581914,2.55,2.55,51,0.027121534845389487,1,1,43,43,0,0.8431372549019608,0,0,0.0,0.0,278.59512094690325,success
fixed-exact-h036-v1,fixed_exact_h036_v1,29,31029,cross_workspace,1,1,0,0,0,0.21561460757080933,2.45,2.45,49,0.024810554413038262,1,1,38,38,0,0.7755102040816326,0,0,0.0,0.0,279.3866812210559,success
fixed-exact-h036-v1,fixed_exact_h036_v1,30,31030,cross_workspace,1,1,0,0,0,0.1520039812450985,2.75,2.75,55,0.008897003096056866,1,1,41,41,0,0.7454545454545455,0,0,0.0,0.0,272.30713882911357,success
fixed-exact-h036-v1,fixed_exact_h036_v1,31,31031,cross_workspace,1,1,0,0,0,0.11345383847571067,3.05,3.05,61,0.022146466172487618,1,1,48,48,0,0.7868852459016393,1,1,0.05,0.005951698708623054,270.88412973230805,success
fixed-exact-h036-v1,fixed_exact_h036_v1,32,31032,cross_workspace,1,1,0,0,0,0.1602102827661379,2.8,2.8,56,0.018675036266601955,1,1,42,42,0,0.75,0,0,0.0,0.0,272.97534435789066,success
fixed-exact-h036-v1,fixed_exact_h036_v1,33,31033,cross_workspace,0,0,0,1,1,0.015257060488504587,,7.1,142,0.1623123327880886,0,0,123,123,0,0.8661971830985915,49,37,1.85,11.157596798764079,-79.51614699811346,unsafe
fixed-exact-h036-v1,fixed_exact_h036_v1,34,31034,cross_workspace,0,0,1,1,1,-0.00026715626549959903,,7.05,141,0.3787900442636939,1,0,127,127,0,0.900709219858156,51,39,1.95,123.65967777461167,-97.24859294280324,human_collision
fixed-exact-h036-v1,fixed_exact_h036_v1,35,31035,cross_workspace,1,1,0,0,0,0.12006115440075442,3.05,3.05,61,0.029874442677482318,1,1,46,46,0,0.7540983606557377,0,0,0.0,0.0,270.0073499370624,success
fixed-exact-h036-v1,fixed_exact_h036_v1,36,31036,cross_workspace,1,1,0,0,0,0.11575165390538332,2.9,2.9,58,0.042193364809128386,1,1,42,42,0,0.7241379310344828,1,1,0.05,0.0025067284082839945,272.1228670364873,success
fixed-exact-h036-v1,fixed_exact_h036_v1,37,31037,cross_workspace,1,1,0,0,0,0.21693745409797646,2.45,2.45,49,0.029303333335456906,1,1,34,34,0,0.6938775510204082,0,0,0.0,0.0,284.8386533762679,success
fixed-exact-h036-v1,fixed_exact_h036_v1,38,31038,cross_workspace,0,0,0,0,0,0.5128585262216051,,1.6,32,0.1222394748945643,0,0,19,19,0,0.59375,0,0,0.0,0.0,-39.84895692727976,unsafe
fixed-exact-h036-v1,fixed_exact_h036_v1,39,31039,cross_workspace,1,1,0,0,0,0.3078389403328462,2.3,2.3,46,0.018864298815119574,1,1,37,37,0,0.8043478260869565,0,0,0.0,0.0,276.44001488357344,success
fixed-exact-h036-v1,fixed_exact_h036_v1,40,31040,cross_workspace,1,1,0,0,0,0.24535105958526718,2.5,2.5,50,0.014581036326630126,1,1,35,35,0,0.7,0,0,0.0,0.0,280.58351162075763,success
fixed-exact-h036-v1,fixed_exact_h036_v1,41,31041,cross_workspace,1,1,0,0,0,0.2630172606090361,2.35,2.35,47,0.00827286903271673,1,1,29,29,0,0.6170212765957447,0,0,0.0,0.0,280.0040377558345,success
fixed-exact-h036-v1,fixed_exact_h036_v1,42,31042,cross_workspace,1,1,0,0,0,0.21982146549287288,2.5,2.5,50,0.020702247764910236,1,1,37,37,0,0.74,0,0,0.0,0.0,273.1038943720821,success
fixed-exact-h036-v1,fixed_exact_h036_v1,43,31043,cross_workspace,1,1,0,0,0,0.21220620667590567,2.55,2.55,51,0.011704179736593953,1,1,34,34,0,0.6666666666666666,0,0,0.0,0.0,284.39008961117446,success
fixed-exact-h036-v1,fixed_exact_h036_v1,44,31044,cross_workspace,1,1,0,0,0,0.3097894772194487,2.25,2.25,45,0.018104574848870025,1,1,35,35,0,0.7777777777777778,0,0,0.0,0.0,275.0674817895572,success
fixed-exact-h036-v1,fixed_exact_h036_v1,45,31045,cross_workspace,1,1,0,0,0,0.1506820757762764,2.9,2.9,58,0.04097038642176655,1,1,38,38,0,0.6551724137931034,0,0,0.0,0.0,271.84707949118445,success
fixed-exact-h036-v1,fixed_exact_h036_v1,46,31046,cross_workspace,1,1,0,0,0,0.14972266765950076,2.7,2.7,54,0.018240400966595686,1,1,45,45,0,0.8333333333333334,0,0,0.0,0.0,275.79632379457206,success
fixed-exact-h036-v1,fixed_exact_h036_v1,47,31047,cross_workspace,1,1,0,0,0,0.06654809818036929,3.15,3.15,63,0.04402526973306373,1,0,50,50,0,0.7936507936507936,6,6,0.3,1.0119917234721862,250.25192748082145,success
fixed-exact-h036-v1,fixed_exact_h036_v1,48,31048,cross_workspace,1,1,0,0,0,0.27332383305970087,2.3,2.3,46,0.015740618633441852,1,1,29,29,0,0.6304347826086957,0,0,0.0,0.0,282.7726661832908,success
fixed-exact-h036-v1,fixed_exact_h036_v1,49,31049,cross_workspace,1,1,0,0,0,0.15799013260650255,2.8,2.8,56,0.02632166945278412,1,1,45,45,0,0.8035714285714286,0,0,0.0,0.0,267.45618496952005,success
fixed-exact-h036-v1,fixed_exact_h036_v1,50,31050,cross_workspace,0,0,1,1,1,-0.00022028120415432118,,6.8,136,0.17857132285105912,1,0,121,121,0,0.8897058823529411,51,50,2.5,136.42999204833174,-106.27305852272862,human_collision
fixed-exact-h036-v1,fixed_exact_h036_v1,51,31051,cross_workspace,1,1,0,0,0,0.1898365289907767,2.9,2.9,58,0.03486624413062469,1,1,52,52,0,0.896551724137931,0,0,0.0,0.0,283.0734946862694,success
fixed-exact-h036-v1,fixed_exact_h036_v1,52,31052,cross_workspace,1,1,0,0,0,0.10439611895618643,3.55,3.55,71,0.03432365140644949,1,1,62,62,0,0.8732394366197183,2,2,0.1,0.03867549177534798,271.57658262814635,success
fixed-exact-h036-v1,fixed_exact_h036_v1,53,31053,cross_workspace,0,0,1,1,1,-6.574013439453186e-07,,6.85,137,0.3479263380065998,0,0,121,121,0,0.8832116788321168,47,44,2.2,132.57260328293145,-144.61076723676047,human_collision
fixed-exact-h036-v1,fixed_exact_h036_v1,54,31054,cross_workspace,1,1,0,0,0,0.22480896375363693,2.6,2.6,52,0.04030511746374591,1,0,38,38,0,0.7307692307692307,0,0,0.0,0.0,252.1105834514596,success
fixed-exact-h036-v1,fixed_exact_h036_v1,55,31055,cross_workspace,1,1,0,0,0,0.23464424507923728,2.35,2.35,47,0.016109762108711848,1,1,32,32,0,0.6808510638297872,0,0,0.0,0.0,282.5036691910742,success
fixed-exact-h036-v1,fixed_exact_h036_v1,56,31056,cross_workspace,0,0,1,1,1,-0.0002101911850573568,,6.9,138,0.2972494746429937,0,0,104,104,0,0.7536231884057971,50,40,2.0,129.87761039830164,-146.39216311440194,human_collision
fixed-exact-h036-v1,fixed_exact_h036_v1,57,31057,cross_workspace,1,1,0,0,0,0.12031068582768223,3.0,3.0,60,0.019635331757148423,1,1,41,41,0,0.6833333333333333,0,0,0.0,0.0,288.93852409296744,success
fixed-exact-h036-v1,fixed_exact_h036_v1,58,31058,cross_workspace,1,1,0,0,0,0.26405650936958747,2.45,2.45,49,0.008344792361093013,1,1,39,39,0,0.7959183673469388,0,0,0.0,0.0,284.2236166389448,success
fixed-exact-h036-v1,fixed_exact_h036_v1,59,31059,cross_workspace,0,0,1,1,1,-0.00021947593495003082,,6.85,137,0.4403505065884418,1,0,113,113,0,0.8248175182481752,47,47,2.35,130.2917541749591,-91.12331722072122,human_collision
fixed-exact-h036-v1,fixed_exact_h036_v1,60,31060,cross_workspace,1,1,0,0,0,0.12156086516674348,3.05,3.05,61,0.009654182159135861,1,1,49,49,0,0.8032786885245902,0,0,0.0,0.0,280.6611938710847,success
